embedding_norm,grad_norm,round,client_id
870.2447509765625,0.0003435900725889951,1,2
871.7310791015625,0.00036236701998859644,1,3
821.26904296875,0.00038292849785648286,1,0
783.1602783203125,0.00043578402255661786,1,1
872.4524536132812,0.00034859980223700404,2,3
870.77490234375,0.0003646500699687749,2,2
824.12109375,0.00039008096791803837,2,0
783.979248046875,0.00045354070607572794,2,1
783.782958984375,0.00035444615059532225,3,1
828.8018188476562,0.00036712142173200846,3,0
871.9761962890625,0.00040033264667727053,3,3
870.814697265625,0.000439013063441962,3,2
784.589111328125,0.0003539035387802869,4,1
830.2286376953125,0.00036425970029085875,4,0
873.1414794921875,0.0004023289366159588,4,3
871.0460205078125,0.0004373649717308581,4,2
871.3853759765625,0.00034739248803816736,5,2
784.388671875,0.0003573399153538048,5,1
872.3399658203125,0.0004010264528915286,5,3
831.8682861328125,0.00044548639561980963,5,0
872.4869384765625,0.0003489407245069742,6,3
785.064453125,0.0003559966280590743,6,1
831.3508911132812,0.00040438937139697373,6,0
871.5411376953125,0.00043600783101283014,6,2
871.4525756835938,0.0003597404283937067,7,2
831.6905517578125,0.00036521899164654315,7,0
785.1488037109375,0.00042147230124101043,7,1
872.4548950195312,0.0004386623913887888,7,3
785.2134399414062,0.0003665651602204889,8,1
872.4212646484375,0.00037421032902784646,8,3
871.8833618164062,0.0004446938110049814,8,2
832.2767944335938,0.0004601992841344327,8,0
831.8489990234375,0.00036356598138809204,9,0
786.030517578125,0.0003639122878666967,9,1
872.2337036132812,0.0004272831720300019,9,2
872.0101928710938,0.00046366319293156266,9,3
831.396728515625,0.00035888576530851424,10,0
872.28076171875,0.0003540634934324771,10,2
872.613037109375,0.000412712775869295,10,3
784.1941528320312,0.0004548128054011613,10,1
872.2979125976562,0.00034222810063511133,11,2
872.8219604492188,0.0003372622304596007,11,3
830.8037109375,0.0003996920713689178,11,0
785.2208862304688,0.0004162999102845788,11,1
830.181396484375,0.0003578665491659194,12,0
872.0612182617188,0.00034931721165776253,12,2
872.1463012695312,0.0004163765988778323,12,3
786.1162719726562,0.0004513546300586313,12,1
785.7534790039062,0.00035480622318573296,13,1
830.8558959960938,0.000348641537129879,13,0
872.3252563476562,0.0004293864476494491,13,2
871.7454223632812,0.00043632005690597,13,3
830.7283325195312,0.000370962981833145,14,0
872.5791625976562,0.0003679025685414672,14,3
786.218505859375,0.00046933922567404807,14,1
872.833251953125,0.0004537874774541706,14,2
873.1264038085938,0.0003735348582267761,15,3
830.3445434570312,0.00036646693479269743,15,0
786.226806640625,0.0004643571737688035,15,1
872.673828125,0.0004428047686815262,15,2
830.3765258789062,0.0003542899212334305,16,0
871.8262329101562,0.00033966428600251675,16,2
871.9988403320312,0.00042140623554587364,16,3
787.098876953125,0.00044526541023515165,16,1
872.3912963867188,0.00035456049954518676,17,2
829.8911743164062,0.00034373090602457523,17,0
786.9347534179688,0.00043985655065625906,17,1
872.40087890625,0.0004300209111534059,17,3
872.2427368164062,0.0003452784731052816,18,3
871.5357666015625,0.0003298237861599773,18,2
829.5057983398438,0.00041813289863057435,18,0
787.5264892578125,0.00042981270235031843,18,1
872.7376708984375,0.0003687370626721531,19,3
828.96533203125,0.0003569681430235505,19,0
786.7426147460938,0.0004676562384702265,19,1
871.61181640625,0.00044162795529700816,19,2
872.0445556640625,0.0003683720715343952,20,3
872.6563110351562,0.0003558046300895512,20,2
787.5723876953125,0.0004768919025082141,20,1
828.380859375,0.00046413755626417696,20,0
