round,comm_costs
1,1692
2,1692
3,1692
4,1692
5,1692
6,1692
7,1692
8,1692
9,1692
10,1692
11,1692
12,1692
13,1692
14,1692
15,1692
16,1692
17,1692
18,1692
19,1692
20,1692
21,1692
22,1692
23,1692
24,1692
25,2538
